PlayerOne,PlayerTwo,Dictionary,ScorePlayerOne,ScorePlayerTwo,NumTurns,MaxScore,MinScore,MeanScore
Terry Kang,Niel Gan,CSW21,407,403,27,79,0,30.0
Jonathan Lindh,Stefan Fatsis,NWL23,411,354,32,72,4,23.91
Jonathan Lindh,Froilan Mendoza,NWL23,351,399,29,79,0,25.86
Edwin Roth,Jonathan Lindh,NWL23,401,385,25,75,0,31.44
Dustin Dean,Jonathan Lindh,NWL23,409,426,25,83,2,33.4
Jonathan Lindh,Jeremy Hall,NWL23,413,459,29,95,0,33.89
Scott Appel,Jonathan Lindh,NWL23,409,413,27,96,0,32.31
Ben Withers,Jonathan Lindh,NWL23,448,367,28,101,6,29.11
Jonathan Lindh,Josh Kopczak,NWL23,362,354,26,74,4,27.54
Jonathan Lindh,Frank Tangredi,NWL23,0,0,32,78,0,28.67
Peter Schwartzman,Jonathan Lindh,NWL23,389,438,30,74,0,27.57
Jonathan Lindh,Mark Garrod,NWL23,366,358,31,96,6,24.83
Jonathan Lindh,Michael Fagen,NWL23,319,372,26,68,0,26.58
Mark Edward Owens,Jonathan Lindh,NWL23,382,420,23,91,8,34.87
Jonathan Lindh,Edward De Guzman,NWL23,303,591,27,94,0,33.11
Jonathan Lindh,Dan Wachtell,NWL23,405,388,28,69,0,28.32
Kenneth Rubin,Joey Krafchick,NWL23,430,343,28,91,3,27.61
Jerome Loch,Samuel Kaplan,NWL23,379,401,29,67,0,26.9
Samuel Kaplan,Richard Landau,NWL23,503,267,29,92,0,26.55
Jonathan Lindh,James Donnelly,NWL23,416,417,27,80,0,30.85
Paul Holser,Jonathan Lindh,NWL23,457,390,27,72,0,31.37
Noah Berger,Jonathan Lindh,NWL23,540,347,26,116,8,34.12
Samuel Kaplan,Noah Goldstein,NWL23,473,484,27,88,0,35.44
Jonathan Lindh,Ross Yellin,NWL23,554,209,27,86,0,32.12
Keith Hagel,Chris Cheng,NWL18,378,412,35,90,0,24.32
Chris Cheng,Brian Nelson,NWL18,366,393,36,83,0,23.46
Chris Cheng,Jon Shreve,NWL18,416,456,24,90,6,36.33
Chris Cheng,Susi Tiekert,NWL18,437,442,33,82,0,26.64
Chris Cheng,Florence Spanfelner,NWL18,358,290,33,69,0,21.25
Paul Holser,Chris Cheng,NWL18,344,433,24,82,4,32.38
Nigel Peltier,Chris Cheng,NWL18,456,383,26,86,0,32.27
Rafi Stern,Chris Cheng,NWL18,410,339,28,73,0,26.75
Chris Cheng,Seth Lipkin,NWL18,332,584,24,194,0,43.7
Chris Cheng,Steve Grob,NWL18,422,374,29,89,0,31.0
Chris Cheng,Jane Geary,NWL18,416,318,31,78,0,27.07
Jeanne Freebody,Chris Cheng,NWL18,319,489,25,86,6,32.32
Thomas Tremont,Chris Cheng,NWL18,254,415,33,69,0,20.27
Chris Cheng,Vicky Julian,NWL18,355,362,27,73,2,26.56
Benjamin Ansell,Chris Cheng,NWL18,380,373,29,92,0,25.97
Chris Cheng,Tracy McQueen,NWL18,454,332,28,89,0,28.07
A,B,CSW21,406,430,26,89,5,32.15
M. Rezal Fahlefi,Christian Oktavius,CSW21,368,471,36,182,2,38.66
Jay Levin,Samuel Kaplan,NWL23,409,341,25,80,2,30.0
Jonathan Lindh,Chris Cheng,WOW24,312,473,29,80,0,27.07
Jonathan Lindh,Randall Thomas,WOW24,359,317,32,79,0,21.12
Annette Obrestad,Jonathan Lindh,WOW24,337,465,24,84,2,33.42
John Karris,Jonathan Lindh,WOW24,350,489,29,95,0,28.93
Jonathan Lindh,Steve Hartsman,WOW24,391,395,27,83,0,29.11
Wallace Schultz,Jonathan Lindh,WOW24,333,456,30,74,0,26.3
Jonathan Lindh,Eric Goldstein,WOW24,458,428,26,83,8,34.08
Jonathan Lindh,Juraj Pivovarov,WOW24,426,449,30,90,0,29.17
Kevin Burbridge,Jonathan Lindh,WOW24,444,489,25,99,11,37.32
Jonathan Lindh,Jill Turney,WOW24,361,456,32,81,0,31.97
Randall Thomas,Jonathan Lindh,WOW24,367,475,25,77,6,33.68
Jonathan Lindh,Joey Krafchick,WOW24,472,385,25,94,6,34.28
Laurie Cohen,Jonathan Lindh,WOW24,408,394,28,76,0,28.64
Jonathan Lindh,Orry Swift,WOW24,293,433,27,92,2,26.89
Trip Payne,Jonathan Lindh,WOW24,374,426,25,90,0,32.0
Mike Frentz,Jonathan Lindh,WOW24,430,389,29,86,0,28.24
Jonathan Lindh,Steve Hartsman,WOW24,416,445,25,90,0,34.44
Jonathan Lindh,Jim Sherrill,WOW24,401,437,28,83,0,29.93
Maddy Kamen,Jonathan Lindh,WOW24,398,389,35,91,0,29.06
Adam Henderson,Jonathan Lindh,WOW24,439,433,28,86,0,31.14
Jonathan Lindh,Jerry Lerman,WOW24,384,332,27,77,0,26.52
Jonathan Lindh,Elizabeth Ralston,WOW24,482,391,30,86,0,33.07
Chris Cheng,Jonathan Lindh,WOW24,346,351,27,80,5,25.81
Niel Gan,Dennis Ikekeregor,CSW21,420,458,29,76,4,32.5
James Ewruje,John Aiyedun,CSW21,393,448,28,79,5,33.67
John Aiyedun,James Ewruje,CSW21,456,459,32,103,0,32.84
James Ewruje,John Aiyedun,CSW21,377,393,31,76,5,27.97
John Aiyedun,James Ewruje,CSW21,0,0,21,78,14,36.7
James Ewruje,John Aiyedun,CSW21,481,415,20,95,13,44.8
Peter Schwartzman,Jonathan Lindh,WOW24,479,400,26,77,4,33.81
Jonathan Lindh,Jon Shreve,WOW24,433,439,28,89,0,31.14
Jonathan Lindh,Stan Miranda,WOW24,298,366,28,102,0,23.71
Keith Pries,Jonathan Lindh,WOW24,383,507,24,94,6,37.08
Annette Obrestad,Jonathan Lindh,WOW24,428,313,29,68,4,27.75
Jonathan Lindh,Alex Jaech,WOW24,401,452,27,73,3,31.59
Jonathan Lindh,Howard Pistol,WOW24,409,291,27,80,0,25.93
Jeff Fiszbein,Jonathan Lindh,WOW24,442,369,26,100,2,31.19
Carl Johnson,Quackle,WOW24,454,449,34,81,0,26.56
Steve Grob,Jonathan Lindh,WOW24,455,303,31,91,0,27.33
Jonathan Lindh,Joel Elkins,WOW24,411,439,25,90,4,36.79
James Donnelly,Dustin Dean,NWL23,513,438,26,158,0,36.58
James Donnelly,Eric Harshbarger,NWL23,407,552,23,96,0,41.7
Chris Cheng,Reuvena Ross,NWL18,514,382,30,90,6,33.66
Reuvena Ross,Chris Cheng,NWL18,447,350,28,86,6,32.0
Chris Cheng,Yukari Balabanov,NWL18,454,328,33,82,0,26.34
Chris Cheng,Sunshine Gudlaugson,NWL18,415,347,31,78,0,28.0
Richard Craig,Chris Cheng,NWL18,414,428,28,96,0,33.93
James Donnelly,David Pearl,NWL23,355,460,26,84,4,31.35
Chris Cheng,Letitia Sears,NWL18,498,349,30,78,0,30.34
Marilyn Batchelor,Chris Cheng,NWL18,365,367,33,77,4,25.0
Chris Cheng,Pat Parsons,NWL18,387,341,35,72,0,24.7
John Aiyedun,James Ewruje,CSW21,450,403,25,86,6,36.58
John Aiyedun,James Ewruje,CSW21,471,477,29,87,2,32.69
James Ewruje,John Aiyedun,CSW21,0,0,23,88,0,32.27
Skyler Lutz,Debbie Stegman,NWL23,409,423,25,82,4,33.28
James Ewruje,John Aiyedun,CSW21,393,417,28,110,0,28.93
John Aiyedun,James Ewruje,CSW21,0,0,22,77,12,33.95
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
John Aiyedun,James Ewruje,CSW21,0,0,24,90,0,36.0
James Ewruje,John Aiyedun,CSW21,0,0,23,213,4,39.55
John Aiyedun,James Ewruje,CSW21,472,372,22,101,14,38.36
Jeff Fiszbein,Jonathan Lindh,WOW24,373,387,27,79,0,28.15
Chris Cheng,Jonathan Lindh,WOW24,461,370,26,82,4,31.96
Jonathan Lindh,Maddy Kamen,WOW24,404,395,26,79,6,30.73
Noah Walton,Kenneth Rubin,NWL23,499,420,24,92,8,38.29
Kenji,Shreve,WOW24,534,378,24,96,6,38.0
Mike Frentz,Kenji,WOW24,475,347,23,107,2,35.74
Kenji,Jim Sherill,WOW24,518,296,32,74,0,25.44
Kenji,Jim Sherill,WOW24,518,296,32,74,0,25.44
