PlayerOne,PlayerTwo,Dictionary,ScorePlayerOne,ScorePlayerTwo,NumTurns,MaxScore,MinScore,MeanScore
Chris Cheng,Letitia Sears,NWL18,498,349,30,78,0,30.34
Marilyn Batchelor,Chris Cheng,NWL18,365,367,33,77,4,25.0
Chris Cheng,Pat Parsons,NWL18,387,341,35,72,0,24.7
John Aiyedun,James Ewruje,CSW21,450,403,25,86,6,36.58
John Aiyedun,James Ewruje,CSW21,471,477,29,87,2,32.69
James Ewruje,John Aiyedun,CSW21,0,0,23,88,0,32.27
Skyler Lutz,Debbie Stegman,NWL23,409,423,25,82,4,33.28
James Ewruje,John Aiyedun,CSW21,393,417,28,110,0,28.93
John Aiyedun,James Ewruje,CSW21,0,0,22,77,12,33.95
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
James Ewruje,John Aiyedun,CSW21,0,0,26,77,0,34.92
John Aiyedun,James Ewruje,CSW21,0,0,24,90,0,36.0
James Ewruje,John Aiyedun,CSW21,0,0,23,213,4,39.55
John Aiyedun,James Ewruje,CSW21,472,372,22,101,14,38.36
Jeff Fiszbein,Jonathan Lindh,WOW24,373,387,27,79,0,28.15
Chris Cheng,Jonathan Lindh,WOW24,461,370,26,82,4,31.96
Jonathan Lindh,Maddy Kamen,WOW24,404,395,26,79,6,30.73
Noah Walton,Kenneth Rubin,NWL23,499,420,24,92,8,38.29
Kenji Matsumoto,Jon Shreve,WOW24,534,378,24,96,6,38.0
Kenji,Jim Sherill,WOW24,518,296,32,74,0,25.44
Kenji Matsumoto,Jim Sherrill,WOW24,518,296,32,74,0,25.44
Norases Vesdapunt,Kenji Matsumoto,WOW24,438,502,24,86,0,39.17
Sam Hollington,Kenji Matsumoto,WOW24,436,429,25,89,0,34.6
Kenji Matsumoto,Jim Sherrill,WOW24,491,307,28,86,0,28.5
Kenji,Jim Sherill,WOW24,491,307,28,86,0,28.5
Rafi Stern,Kenji Matsumoto,WOW24,473,384,24,80,10,35.71
Jackson Smylie,Kenji Matsumoto,WOW24,488,446,24,83,10,38.92
Saint,Kenji,WOW24,414,503,31,73,2,34.97
Kenji Matsumoto,Howard Pistol,WOW24,467,302,28,83,0,27.46
Kenji Matsumoto,Nigel Peltier,WOW24,321,409,27,75,0,27.04
Kenji Matsumoto,Edwin Roth,WOW24,482,424,25,88,0,36.24
Kenji Matsumoto,Zachary Ansell,WOW24,434,457,22,82,12,40.5
Kenji Matsumoto,Laurie Cohen,WOW24,459,334,28,72,0,28.32
Sam Hollington,Kenji Matsumoto,WOW24,541,383,24,80,0,38.5
Hollington,Kenji,WOW24,541,383,24,80,0,38.5
Jeff Fiszbein,Kenji Matsumoto,WOW24,481,500,27,80,0,36.33
Kenji Matsumoto,Rafi Stern,WOW24,351,394,26,82,3,28.65
Jackson Smylie,Kenji Matsumoto,WOW24,489,364,26,80,0,32.81
David A Brown,Kenji Matsumoto,WOW24,380,491,31,96,0,31.63
Kenji Matsumoto,Eric Goldstein,WOW24,501,366,24,76,10,36.12
Mike Frentz,Kenji,WOW24,428,369,31,80,0,29.23
Steve Hartsman,Kenji Matsumoto,WOW24,467,457,23,118,10,40.17
Kenji Matsumoto,Maddy Kamen,WOW24,427,404,26,86,2,31.96
Kenji Matsumoto,Stefan Kac,WOW24,503,384,29,82,0,30.59
Keith Pries,Kenji Matsumoto,WOW24,368,481,26,83,14,37.2
Rafi Stern,Joey Krafchick,WOW24,390,391,27,117,0,34.54
Joey Krafchick,Kenji Matsumoto,WOW24,464,470,23,86,7,40.61
Jackson Smylie,Rafi Stern,WOW24,459,337,25,89,7,31.84
Jackson Smylie,Rafi Stern,WOW24,423,475,26,95,0,34.54
Jackson Smylie,Rafi Stern,WOW24,562,311,29,85,4,33.46
Ryan Wee,Tony Sim,CSW21,530,461,26,82,4,38.12
Orry Swift,Joey Krafchick,WOW24,362,348,28,67,0,25.36
Orry Swift,Jackson Smylie,WOW24,352,465,28,86,0,29.18
Jackson Smylie,Alex Jaech,WOW24,461,379,27,122,0,31.11
Joey Krafchick,Orry Swift,WOW24,408,323,27,72,0,27.07
Michael Tang,Ryan Wee,CSW21,427,431,32,100,0,26.81
Joey Krafchick,Nigel Peltier,WOW24,476,475,26,84,8,36.58
Sam Hollington,Joey Krafchick,WOW24,401,387,26,84,0,30.31
Joey Krafchick,Chris Cheng,WOW24,482,380,25,86,4,34.48
Joey Krafchick,Maddy Kamen,WOW24,438,411,24,92,2,35.38
Joey Krafchick,Jon Shreve,WOW24,434,367,27,92,6,32.42
Stefan Kac,Joey Krafchick,WOW24,380,400,31,85,0,25.16
Thacha,Nattapat,CSW21,410,392,25,140,4,36.79
Nattapat,Thacha,CSW21,424,437,27,94,5,36.12
Thacha,Nattapat,CSW21,613,323,28,96,0,38.11
Mack Meller,Fred Morlan,NWL23,384,492,27,93,4,32.44
Alex Jaech,Joey Krafchick,WOW24,473,423,24,89,6,37.33
Matthew Tunnicliffe,Austin Shin,CSW21,395,415,23,81,12,35.22
Clay Daniel,James Donnelly,NWL23,450,388,26,81,0,32.23
Matthew Tunnicliffe,Charles Reinke,CSW21,310,541,29,149,0,29.34
Chloe Fatsis,Noah Walton,NWL23,377,496,27,84,4,32.33
Noah Walton,Joey Krafchick,NWL23,495,496,22,185,2,45.05
Noah Walton,Jason Li,NWL23,448,443,24,89,6,37.12
Noah Walton,Joe Edley,NWL23,476,421,25,94,2,35.88
Chloe Fatsis,Noah Walton,NWL23,356,382,23,73,9,32.09
Noah Walton,Clay Daniel,NWL23,482,448,24,90,0,38.75
Joe Edley,Noah Walton,NWL23,333,482,28,92,12,33.22
Seth Lipkin,Noah Walton,NWL23,530,377,24,92,11,37.79
Noah Walton,Orry Swift,NWL23,551,353,25,90,0,39.67
Michael Fagen,Noah Walton,NWL23,387,461,27,98,0,33.23
Noah Walton,Kevin Fraley,NWL23,336,476,26,86,0,31.23
Joey Krafchick,Noah Walton,NWL23,404,458,28,82,0,30.79
Chloe Fatsis,Noah Walton,NWL23,490,346,26,91,0,32.15
Noah Walton,Chloe Fatsis,NWL23,489,338,26,80,8,31.81
Ian Weinstein,Noah Walton,NWL23,478,432,22,82,6,41.36
Noah Walton,Joe Edley,NWL23,501,355,27,74,0,31.7
Mack Meller,Noah Walton,NWL23,284,478,23,83,8,33.13
Noah Walton,Seth Lipkin,NWL23,343,375,24,79,5,29.92
Noah Walton,Michael Early,NWL23,490,315,33,101,0,35.67
Marty Gabriel,Noah Walton,NWL23,353,570,25,122,0,36.92
Noah Walton,Frank Tangredi,NWL23,537,327,27,87,6,32.0
Eric Goldstein,Noah Walton,NWL23,368,479,25,80,4,33.88
Noah Walton,Jason Li,NWL23,422,426,22,86,10,38.55
Edward De Guzman,Noah Walton,NWL23,486,432,23,88,12,39.91
Ed,Noah,NWL23,486,432,23,88,12,39.91
Noah Walton,Craig Rowland,NWL23,468,293,28,85,0,27.18
Noah Walton,Joey Krafchick,NWL23,359,456,27,85,0,30.19
Mark Garrod,Noah Walton,NWL23,443,433,28,104,0,36.3
David Pearl,Noah Walton,NWL23,377,488,29,92,0,29.83
Noah Walton,Howard Pistol,NWL23,416,377,30,80,4,27.97
Joel Elkins,Joey Krafchick,WOW24,373,382,29,69,0,26.03
Nattapat,Thacha,CSW21,355,471,24,76,4,34.42
Thacha,Nattapat,CSW21,529,448,26,122,0,42.64
Nattapat,Thacha,CSW21,381,437,26,88,6,34.24
Thacha,Nattapat,CSW21,0,0,23,107,0,41.1
Nattapat,Thacha,CSW21,411,460,25,98,0,34.84
Jonathan Lindh,Joey Krafchick,WOW24,472,385,25,94,6,34.28
Michael Thelen,Ricky Sirois,NWL23,394,506,26,91,0,34.62
Michael Thelen,Sheikh K Dukuly II,NWL23,375,385,27,93,5,28.15
Jackson Smylie,Joey Krafchick,WOW24,462,412,25,82,2,34.96
Juraj Pivovarov,Joey Krafchick,WOW24,472,359,27,90,4,30.78
Joey Krafchick,Eric Goldstein,WOW24,337,462,24,79,5,33.29
James Donnelly,Josh Kopczak,NWL23,333,380,27,77,2,26.41
James Donnelly,Howard Pistol,NWL23,375,382,26,73,0,29.12
Michael Fagen,James Donnelly,NWL23,439,295,29,79,4,25.31
Roy Kamen,Joey Krafchick,WOW24,308,497,29,92,2,27.76
Joey Krafchick,Edwin Roth,WOW24,409,241,32,85,0,20.31
Jeff Fiszbein,Joey Krafchick,WOW24,426,414,26,94,0,32.31
Thacha,Nopparuj,CSW21,459,498,25,95,5,38.28
Nopparuj,Thacha,CSW21,345,425,25,80,2,30.8
Nopparuj,Thacha,CSW21,385,451,27,89,0,35.58
Thacha,Nopparuj,CSW21,552,346,27,86,0,33.26
Thacha,Nopparuj,CSW21,556,327,24,92,5,36.79
Nopparuj,Thacha,CSW21,339,550,26,85,5,34.19
Thacha,Nopparuj,CSW21,472,425,26,95,0,36.72
Jason Ubeika,Matthew Tunnicliffe,CSW21,414,596,24,98,4,42.08
Matthew Tunnicliffe,Winter,CSW21,396,477,23,86,5,37.96
Nopparuj,Thacha,CSW21,446,484,30,90,2,34.41
Robert Linn,Matthew Tunnicliffe,CSW21,428,456,28,108,4,31.57
Cheryl Melvin,Matthew Tunnicliffe,CSW21,416,363,26,92,4,29.96
Matthew Tunnicliffe,Jacob Bergmann,CSW21,397,363,25,83,5,30.4
Matthew Tunnicliffe,Mohammad Sulaiman,CSW21,441,417,30,86,0,28.6
Thomas Reinke,Matthew Tunnicliffe,CSW21,429,358,24,83,4,32.79
Alec Sjoholm,Matthew Tunnicliffe,CSW21,469,516,29,92,4,36.36
James Donnelly,Ben Withers,NWL23,386,374,27,82,7,28.15
Noah Berger,James Donnelly,NWL23,456,436,23,100,0,38.78
Joshua Castellano,Waseem Khatri,CSW21,487,356,26,80,0,32.42
Waseem Khatri,Joshua Castellano,CSW21,327,428,29,77,5,29.32
Joshua Castellano,Waseem Khatri,CSW21,497,414,29,80,0,35.04
Joshua Castellano,Alec Sjoholm,CSW21,431,411,25,82,0,33.68
Waseem Khatri,Joshua Castellano,CSW21,441,408,24,83,8,35.38
Alec Sjoholm,Joshua Castellano,CSW21,457,351,22,76,4,36.73
Will Anderson,Joshua Castellano,CSW21,356,448,21,80,14,38.29
Joshua Castellano,Will Anderson,CSW21,465,396,26,86,0,33.12
Joshua Castellano,Charles Reinke,CSW21,521,401,24,86,4,38.42
Thomas Reinke,Joshua Castellano,CSW21,380,481,27,86,0,31.89
Joel Wapnick,Joshua Castellano,CSW21,443,553,26,134,0,38.31
Joshua Castellano,Waseem Khatri,CSW21,453,369,26,94,0,31.62
Joshua Castellano,Brian Bowman,CSW21,452,407,22,90,0,39.05
Josh Castellano,Brian Bowman,CSW21,452,407,22,90,0,39.05
